google.com, 74.210  ms
wikipedia.org, 101.568  ms
amazon.com, 166.886  ms
microsoft.com, 283.907  ms
github.com, 117.503  ms
mail.ru, 148.415  ms
yandex.ru, 136.458  ms
vk.com, 99.000  ms
youtube.com, 80.528  ms
roblox.com, 205.797  ms
